Fakultas,Prodi,Seberapa mudah Anda mengakses SIAMIK saat war KRS berlangsung?,Berapa lama rata-rata waktu login yang Anda alami saat war KRS? (.....menit),Seberapa sering Anda mengalami gagal masuk atau error saat login di SIAMIK?,Apakah Anda pernah kehilangan mata kuliah karena slot penuh akibat lambatnya SIAMIK? ,Masalah utama yang paling sering Anda alami saat war KRS?,Berapa lama waktu yang Anda perlukan untuk menunggu ACC dari sistem/webnya? (....menit/jam),Apakah SIAMIK sudah memberikan notifikasi/status ACC KRS dengan jelas?,Seberapa puas Anda secara keseluruhan terhadap SIAMIK dalam proses War KRS dan ACC?,"Jika diberikan kesempatan memilih, aspek apa yang paling prioritas untuk diperbaiki pada SIAMIK?","Berdasarkan pengalaman terakhir anda, Bagaimana penilaian anda terhadap kualitas SIAMIK saat war KRS dan ACC?"
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,3,2,1,Tidak,Slot mata kuliah cepat penuh,60,"Ya, sangat jelas",4,Notifikasi otomatis ACC mata kuliah,4
Fakultas Arsitektur dan Desain,Desain Komunikasi Visual ,5,5,4,Ya,Slot mata kuliah cepat penuh,96,Cukup jelas,3,Kecepatan server saat war KRS,3
Fakultas Arsitektur dan Desain,Desain Komunikasi Visual ,4,1,1,Ya,Slot mata kuliah cepat penuh,5760,Cukup jelas,3,Kecepatan server saat war KRS,3
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,4,2,2,Ya,Slot mata kuliah cepat penuh,1,Cukup jelas,4,Kecepatan server saat war KRS,4
Fakultas Ekonomi dan Bisnis,Akuntansi,4,5,4,Ya,Slot mata kuliah cepat penuh,60,Kurang jelas,2,Proses ACC system/web,2
Fakultas Ekonomi dan Bisnis,Manajemen,2,2,3,Ya,Slot mata kuliah cepat penuh,90,"Ya, sangat jelas",2,Notifikasi otomatis ACC mata kuliah,2
Fakultas Ekonomi dan Bisnis,Akuntansi,2,10,5,Tidak,Sulit login/server down,60,Tidak jelas sama sekali,1,Proses ACC system/web,1
Fakultas Ekonomi dan Bisnis,Manajemen,1,20,4,Ya,Slot mata kuliah cepat penuh,300,Tidak jelas sama sekali,2,Proses ACC system/web,2
Fakultas Ekonomi dan Bisnis,Akuntansi,4,2,1,Tidak,"Error system (data tidak tersimpan, crash, dll)",2,Cukup jelas,3,Kecepatan server saat war KRS,3
Fakultas Teknik dan Sains,Teknik Sipil,2,10,4,Ya,"Error system (data tidak tersimpan, crash, dll)",30,Tidak jelas sama sekali,2,Proses ACC system/web,2
Fakultas Ekonomi dan Bisnis,Manajemen,3,2,1,Ya,"Error system (data tidak tersimpan, crash, dll)",90,Tidak jelas sama sekali,1,Proses ACC system/web,1
Fakultas Teknik dan Sains,Teknik Sipil,2,3,5,Ya,"Error system (data tidak tersimpan, crash, dll)",35,Tidak jelas sama sekali,1,Proses ACC system/web,2
Fakultas Ekonomi dan Bisnis,Akuntansi,4,2,4,Tidak,Slot mata kuliah cepat penuh,1,Cukup jelas,3,Kecepatan server saat war KRS,3
Fakultas Ekonomi dan Bisnis,Manajemen,2,90,5,Ya,Slot mata kuliah cepat penuh,60,Cukup jelas,2,Proses ACC system/web,2
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,3,2,2,Tidak,Slot mata kuliah cepat penuh,30,"Ya, sangat jelas",4,Kecepatan server saat war KRS,4
Fakultas Hukum,Hukum,2,2,1,Ya,"Error system (data tidak tersimpan, crash, dll)",2,Cukup jelas,3,Proses ACC system/web,3
Fakultas Hukum,Hukum,2,3,5,Ya,"Error system (data tidak tersimpan, crash, dll)",30,Cukup jelas,2,Proses ACC system/web,2
Fakultas Hukum,Hukum,5,1,1,Tidak,Slot mata kuliah cepat penuh,120,Cukup jelas,1,Kecepatan server saat war KRS,3
Fakultas Hukum,Hukum,1,60,5,Ya,"Error system (data tidak tersimpan, crash, dll)",60,Kurang jelas,1,Kecepatan server saat war KRS,1
Fakultas Hukum,Hukum,5,5,4,Tidak,"Error system (data tidak tersimpan, crash, dll)",60,"Ya, sangat jelas",1,Proses ACC system/web,1
Fakultas Hukum,Hukum,3,0,1,Ya,"Error system (data tidak tersimpan, crash, dll)",180,Cukup jelas,3,Proses ACC system/web,3
Fakultas Hukum,Hukum,1,60,5,Ya,"Error system (data tidak tersimpan, crash, dll)",60,Tidak jelas sama sekali,1,Kecepatan server saat war KRS,1
Fakultas Hukum,Hukum,2,1,2,Ya,Slot mata kuliah cepat penuh,60,Tidak jelas sama sekali,1,Kecepatan server saat war KRS,2
Fakultas Hukum,Hukum,1,120,5,Ya,Sulit login/server down,120,Tidak jelas sama sekali,1,Kecepatan server saat war KRS,1
Fakultas Hukum,Hukum,1,60,5,Ya,"Error system (data tidak tersimpan, crash, dll)",140,Cukup jelas,1,Proses ACC system/web,1
Fakultas Hukum,Hukum,1,300,2,Ya,Slot mata kuliah cepat penuh,60,Cukup jelas,1,Kecepatan server saat war KRS,2
Fakultas Ekonomi dan Bisnis,Manajemen,2,1,4,Ya,Sulit login/server down,60,Kurang jelas,2,Kecepatan server saat war KRS,2
Fakultas Hukum,Hukum,4,1,1,Tidak,Sulit login/server down,30,Cukup jelas,1,Proses ACC system/web,1
Fakultas Teknik dan Sains,Teknik Industri ,5,1,4,Tidak,Sulit login/server down,30,"Ya, sangat jelas",2,Proses ACC system/web,3
Fakultas Teknik dan Sains,Teknik Industri ,3,5,4,Ya,Slot mata kuliah cepat penuh,45,Kurang jelas,3,Proses ACC system/web,2
Fakultas Arsitektur dan Desain,Desain Komunikasi Visual ,3,1,5,Ya,Sulit login/server down,1,Kurang jelas,2,Kecepatan server saat war KRS,2
Fakultas Teknik dan Sains,Fisika,3,1,4,Tidak,Sulit login/server down,2,Kurang jelas,3,Kecepatan server saat war KRS,1
Fakultas Hukum,Hukum,4,2,2,Ya,Slot mata kuliah cepat penuh,180,Tidak jelas sama sekali,1,Proses ACC system/web,2
Fakultas Hukum,Hukum,3,5,2,Ya,Slot mata kuliah cepat penuh,240,Kurang jelas,2,Proses ACC system/web,2
Fakultas Hukum,Hukum,3,2,4,Ya,"Error system (data tidak tersimpan, crash, dll)",90,Cukup jelas,2,Proses ACC system/web,2
Fakultas Hukum,Hukum,2,2,2,Tidak,Slot mata kuliah cepat penuh,180,Cukup jelas,2,Proses ACC system/web,2
Fakultas Hukum,Hukum,5,3,2,Tidak,Slot mata kuliah cepat penuh,30,"Ya, sangat jelas",3,Kecepatan server saat war KRS,3
Fakultas Hukum,Hukum,5,1,1,Tidak,"Error system (data tidak tersimpan, crash, dll)",30,"Ya, sangat jelas",3,Notifikasi otomatis ACC mata kuliah,3
Fakultas Hukum,Hukum,2,5,5,Ya,Slot mata kuliah cepat penuh,180,Tidak jelas sama sekali,1,Kecepatan server saat war KRS,1
